epoch,train_acc,test_acc
1,0.387292199579956,0.4968
2,0.5648577365728901,0.5731
3,0.6184103261784214,0.5532
4,0.6587276214833759,0.5506
5,0.6808144181890561,0.6619
6,0.7034566815551895,0.6294
7,0.7215313300147386,0.6631
8,0.7388147379431274,0.6687
9,0.7503756394471659,0.6201
10,0.7630954284192352,0.7137
11,0.7748681265679772,0.6816
12,0.7868366367981562,0.7151
13,0.7940936701377029,0.7119
14,0.8016184463220484,0.6769
15,0.8126078964499257,0.7434
16,0.818022698240207,0.7411
17,0.8232696611253197,0.7451
18,0.8311341112227086,0.7452
19,0.8361532928998513,0.7553
20,0.8398657288697674,0.7604
21,0.8434063299842502,0.7701
22,0.8470148657593886,0.7726
23,0.851826246894534,0.7644
24,0.8537603900255755,0.7744
25,0.8585877557239874,0.7722
